Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
CD33+_Myeloid	60/679	0.000000002705316958699125	0.00000009333343507511981	-2.291867896280086	37.09866602049395	FCN1;CD86;DDX3Y;CD83;MTMR11;ITGB2;PCSK5;CXCL2;ZFP36;RGS2;CLEC5A;COTL1;CYP1B1;CD36;AMICA1;CD33;CCR2;KLF10;RNASET2;C10ORF54;RNASE6;CYBB;FOS;C1ORF162;MPEG1;F5;CLEC4A;FGR;MS4A6A;PLBD1;KCTD12;CD302;SGK1;PLCB2;S100A8;BLVRA;CEBPD;RGS14;FGL2;CAPG;CD1D;LILRA2;SAMHD1;ADCY7;GNS;AIF1;CECR1;CLEC7A;S100A12;NLRP1;TNFSF13;CARD9;C20ORF27;SOD2;NR4A2;PTPRE;FES;FOSB;CPVL;EVI2B
CD14+_Monocytes	44/383	0.000000001187641789573658	0.0000000819472834805824	-2.0421558123910812	33.322243748541815	FCN1;CD86;RGS19;CEBPD;CLEC10A;LST1;FGL2;CAPG;CD1D;LSP1;LILRA2;PLA2G7;AIF1;CECR1;RGS2;CLEC7A;KYNU;COTL1;CYP1B1;SH3BGRL3;MGAT2;CD33;CCR2;TNFSF13;C10ORF54;LY86;RNASE6;CACNA2D3;TRAFD1;C20ORF27;CYBB;C1ORF162;FGR;CLEC4A;MS4A6A;CD4;DOK2;COL6A1;S100A4;CD302;CPVL;CKLF;PLCB2;BLVRA
WholeBlood	37/514	0.000223697770149161	0.005145048713430703	-1.8426987826198646	9.710507442538658	RGS18;IFITM2;BCL2A1;TNFAIP6;LST1;AQP9;LY96;ICAM3;LSP1;LILRA2;AIF1;LIMD2;GNG10;RGS2;CLEC7A;ARHGDIB;TAGAP;COTL1;SH3BGRL3;AMICA1;P2RY13;C10ORF54;CYBB;SOD2;FLI1;APBB1IP;CLEC4A;EVI2A;SELL;MNDA;TAGLN2;S100A4;CD302;EVI2B;S100A9;CKLF;S100A8
SmoothMuscle	24/363	0.001967512683529008	0.03393959379087539	-1.540098111615102	5.2104183296173145	CDKN1A;SMAD3;TNFAIP6;GFPT2;SPHK1;TFPI2;RPS27L;C1ORF54;CXCL1;C6ORF62;INHBA;LAMC1;TXN;CXCL2;ZFHX4;THBS1;CXCL5;ADAM19;IL6;COL6A1;ITGAV;SYNC;CD200;FBN1
CD19+_BCells(neg._sel.)	22/412	0.02733676399569934	0.3772473431406509	-1.7447164625130926	1.7008442132697073	MAP4K1;CD52;P2RY10;PLEKHG1;SMAD3;CD83;CARD9;LY86;KMO;HDAC9;FLI1;LIMD2;ISG20;ADAM19;TMEM156;HHEX;CD37;TLR10;FXYD5;CD69;HLA-DQB1;BIRC3
BronchialEpithelialCells	16/280	0.04620387049148393	0.5313445106520652	-1.5015620891496617	0.9495047869947999	LAD1;CDKN1A;GADD45A;ANXA3;AKR1C1;SPHK1;LAMC2;TXN;SERPINB7;THBS1;AREG;ELL2;CYP27B1;IL1A;GJB2;PERP
BDCA4+_DendriticCells	25/495	0.06368220103550384	0.6277245530642521	-1.6888187316348509	0.786404891142862	CLEC10A;SAMHD1;PIK3CG;RGS1;FCER1A;MGAT2;AMICA1;CCR2;DUSP5;ST14;CMTM3;RNASET2;P2RY14;RNASE6;CYBA;KMO;MPEG1;PTPRE;CD4;NR4A3;TBC1D4;GPR183;IRF8;PPIB;HLA-DQB1
Fetallung	5/41	0.08603509791166453	0.7019835165472428	-0.5235462411436274	0.18525440604534074	CEBPD;MECOM;CCL20;LAMP3;TCF21
Thymus	4/68	0.09156306737572732	0.7019835165472428	-0.5218405529607738	0.18465085620316662	SPRED2;CD1E;CCL19;CD1C
Placenta	16/405	0.12522382904049503	0.8640444203794158	-1.055453851866159	0.154234631341769	SERPINB2;MAOA;EBI3;TFPI2;WNT5A;SLC40A1;F13A1;INHBA;TFPI;CDYL2;ABTB2;PSG5;SYNPO;FCGR2B;CD200;IDO1
